00000940	00001203	-0000010
00000930	00001193	-0000010
00000918	00001141	-0000010
00000907	00001049	-0000010
00000894	00000927	-0000010
00000881	00000783	-0000010
00000867	00000631	-0000010
00000852	00000483	-0000011
00000837	00000352	-0000012
00000822	00000267	-0000013
00000805	00000323	-0000014
00000788	00000412	-0000016
00000771	00000529	-0000019
00000752	00000649	-0000022
00000734	00000772	-0000024
00000715	00000882	-0000026
00000695	00000967	-0000028
00000675	00001017	-0000029
00000654	00001026	-0000029
00000633	00000992	-0000028
00000612	00000939	-0000026
00000590	00000954	-0000024
00000568	00000926	-0000022
00000546	00000856	-0000020
00000523	00000749	-0000019
00000500	00000625	-0000019
00000478	00000533	-0000020
00000455	00000411	-0000021
00000432	00000268	-0000022
00000409	00000184	-0000023
00000386	00000122	-0000024
00000363	00000159	-0000025
00000340	00000248	-0000027
00000318	00000308	-0000029
00000296	00000405	-0000030
00000274	00000486	-0000030
00000252	00000531	-0000029
00000232	00000563	-0000027
00000211	00000606	-0000024
00000191	00000609	-0000021
00000172	00000569	-0000019
00000154	00000586	-0000018
00000136	00000594	-0000017
00000119	00000559	-0000016
00000103	00000543	-0000015
00000088	00000521	-0000014
00000074	00000458	-0000014
00000061	00000481	-0000014
00000049	00000473	-0000014
00000038	00000463	-0000015
00000028	00000464	-0000016
00000020	00000422	-0000017
00000013	00000462	-0000017
00000008	00000466	-0000015
00000004	00000461	-0000012
00000001	00000469	-0000008
00000000	00000434	-0000004
00000000	00000460	00000000
00000002	00000471	00000004
00000005	00000456	00000008
00000010	00000474	00000011
00000016	00000450	00000012
00000024	00000450	00000013
00000034	00000469	00000014
00000045	00000447	00000015
00000058	00000445	00000016
00000073	00000421	00000017
00000088	00000364	00000018
00000106	00000373	00000019
00000125	00000338	00000020
00000145	00000328	00000021
00000167	00000292	00000022
00000190	00000343	00000023
00000214	00000374	00000024
00000239	00000445	00000025
00000266	00000477	00000027
00000293	00000584	00000029
00000322	00000681	00000031
00000351	00000739	00000033
00000381	00000796	00000035
00000412	00000870	00000037
00000443	00000902	00000039
00000475	00000892	00000040
00000507	00000843	00000040
00000539	00000832	00000039
00000571	00000821	00000037
00000604	00000770	00000036
00000635	00000687	00000035
00000667	00000582	00000034
00000698	00000466	00000033
00000729	00000351	00000032
00000758	00000251	00000032
00000787	00000295	00000033
00000815	00000383	00000034
00000841	00000528	00000035
00000866	00000679	00000036
00000890	00000817	00000036
00000912	00000972	00000035
00000933	00001120	00000033
00000951	00001243	00000030
00000968	00001332	00000027
00000983	00001380	00000023
00000995	00001382	00000018
00001005	00001341	00000013
00001013	00001259	00000008
00001019	00001256	00000003
00001022	00001217	-0000001
00001022	00001138	-0000003
00001020	00001026	-0000006
00001016	00000892	-0000009
00001009	00000748	-0000011
00000999	00000607	-0000012
00000987	00000481	-0000013
00000972	00000419	-0000014
00000955	00000471	-0000016
00000936	00000555	-0000019
00000914	00000660	-0000022
00000890	00000776	-0000024
00000863	00000889	-0000026
00000835	00000988	-0000029
00000805	00001060	-0000032
00000773	00001096	-0000035
00000739	00001091	-0000039
00000704	00001041	-0000042
00000668	00001013	-0000044
00000630	00001015	-0000046
00000592	00000974	-0000048
00000553	00000890	-0000050
00000514	00000768	-0000051
00000475	00000669	-0000051
00000435	00000570	-0000051
00000396	00000441	-0000051
00000358	00000347	-0000051
00000320	00000282	-0000051
00000283	00000245	-0000050
00000248	00000240	-0000048
00000214	00000276	-0000046
00000182	00000326	-0000043
00000152	00000353	-0000040
00000124	00000378	-0000037
00000098	00000426	-0000034
00000075	00000018	-0000031
00000055	00000034	-0000028
00000037	00000045	-0000025
00000023	00000050	-0000021
00000012	00000050	-0000017
00000005	00000053	-0000013
00000000	00000050	-0000008
00000000	00000050	-0000003
00000002	00000053	00000003
00000009	00000049	00000009
00000019	00000046	00000014
00000032	00000038	00000018
00000049	00000023	00000022
00000069	00000006	00000025
00000093	00000022	00000028
00000120	00000051	00000030
00000149	00000093	00000032
00000182	00000142	00000035
00000217	00000196	00000038
00000254	00000252	00000040
00000294	00000307	00000042
00000335	00000359	00000044
00000378	00000421	00000046
00000422	00000489	00000049
00000467	00000552	00000052
00000512	00000607	00000054
00000557	00000655	00000055
00000603	00000693	00000056
00000647	00000722	00000057
00000691	00000743	00000057
00000733	00000757	00000056
00000774	00000767	00000054
00000813	00000774	00000051
00000849	00000780	00000048
00000883	00000788	00000046
00000914	00000798	00000043
00000941	00000814	00000040
00000965	00000833	00000037
00000985	00000857	00000033
00001001	00000884	00000028
00001012	00000913	00000022
00001020	00000940	00000014
00001022	00000965	00000007
00001021	00000984	00000001
00001015	00000994	-0000006
00001004	00000994	-0000012
00000989	00000983	-0000017
00000969	00000959	-0000022
00000945	00000923	-0000026
00000917	00000876	-0000031
00000885	00000852	-0000036
00000850	00000821	-0000041
00000811	00000780	-0000046
00000769	00000728	-0000051
00000725	00000669	-0000055
00000678	00000605	-0000059
00000630	00000539	-0000063
00000580	00000473	-0000066
00000530	00000411	-0000068
00000479	00000354	-0000069
00000428	00000304	-0000069
00000378	00000263	-0000068
00000330	00000229	-0000066
00000282	00000204	-0000062
00000238	00000185	-0000058
00000195	00000170	-0000055
00000156	00000159	-0000051
00000120	00000148	-0000047
00000089	00000136	-0000043
00000061	00000122	-0000038
00000039	00000114	-0000033
00000021	00000110	-0000027
00000008	00000099	-0000020
